RandomID,Age,Sex,BornAUS,Variable1,Variable2,Variable3
121,22,0,0,20,20,38
127,22,1,0,27,16,35
130,21,1,1,35,17,14
138,19,1,0,25,20,21
148,18,1,0,23,16,30
153,20,1,0,30,20,42
156,21,1,0,12,18,33
157,20,0,0,29,19,33
161,23,1,0,37,13,28
167,21,1,0,29,20,47
173,23,1,0,31,20,48
180,21,1,0,18,21,31
183,23,1,1,29,17,34
184,19,1,0,35,19,18
186,18,1,1,42,20,28
200,19,1,1,20,19,44
202,21,1,0,32,16,32
209,20,1,0,28,21,25.55555556
210,20,1,0,31,17,23
212,18,1,0,28,18,31
213,19,1,0,28,19,40
214,20,1,0,41,15,27
216,21,0,0,33.38461538,18,14
217,22,0,0,36,20,34
220,22,1,0,32,21,35
221,21,1,0,28,19,31
225,21,1,0,22,20,34
226,18,0,0,31,19,23
231,23,1,0,25,15,29
232,20,0,0,32,21,35
235,21,1,1,28,21,37
236,20,1,0,31,19,31
238,21,0,0,41,20,40
240,20,1,1,22,19,35
241,23,0,0,24,14,38
242,21,1,1,21,20,34
255,21,0,0,20,16,34
264,19,0,0,33,19,29
265,23,1,0,26,22,19
276,23,1,1,20,17,20
278,23,1,0,39,16,19
279,20,0,0,25,17,20
281,24,0,0,29,20,31
286,21,0,0,24,18,43
287,20,0,0,20,21,36
289,19,1,0,39,20,38
290,20,1,0,23,23,34
293,20,1,0,34,22,29
296,21,1,0,40,18,23
298,18,1,0,36,21,30
300,22,1,0,21,19,36
302,21,1,0,26,17,35
305,20,1,0,27,18,45
324,19,1,1,39,18,34
326,18,0,0,30,18,17
332,25,1,0,19,18,32
333,20,1,0,17,18,42
341,23,1,0,31,19,30
344,24,1,0,22,21,36
350,19,1,0,43.07692308,19,22
351,19,1,0,18,20,41
352,20,0,0,24,18,29
356,22,1,0,30,20,34
364,18,1,0,21,18,46
368,23,1,0,17,14,37
369,20,1,0,33,23,27
378,20,1,0,21,20,35
379,21,1,0,30,18,25
4,21,0,0,24,19,14
8,19,1,0,25,21,20
13,21,1,0,24,18,32
15,21,1,0,34.46153846,20,29
22,23,1,0,23,17,30
28,18,1,0,30,18,39
31,22,0,0,27,15,23
34,24,1,0,38,19,24
35,18,0,1,30,18,28
47,23,1,0,48,16,15
51,21,0,0,13,18,23
63,19,1,0,41,20,25
65,19,1,0,29,20,26
74,22,0,0,19,17,35
76,20,1,1,33,16,25
79,19,0,0,43.07692308,20,20
81,20,1,0,23,12,31
90,20,1,0,35,17,18.88888889
103,20,1,0,42,20,20
104,20,1,0,24,19,20
109,21,1,0,19,17,20
110,21,1,0,29,17,22
111,18,1,0,16,17,31
113,20,0,0,38,19,11
122,21,1,0,46,16,18
123,20,0,0,48,18,23
134,21,0,0,27,21,32
140,19,1,0,34.46153846,19,26
145,21,1,0,30,14,24
154,21,1,0,35,16,27
163,20,1,0,18,14,37
165,21,1,0,32,15,28
179,20,1,0,38,21,21
182,18,1,0,29,18,13
190,21,1,0,19,21,30
191,19,0,0,33,18,21
192,21,1,0,30,20,31
206,23,0,0,34,19,25
208,21,1,0,41,20,38
215,20,1,1,34,20,23
